SR,笑顔全開！,スコア,タイマー,10,36,2,50,0,300,25,500,4610,4010,3510,スマイルハート,empty,0
SR,炎の心,回復,リズムアイコン,26,36,2,50,0,3,0,5,4680,3580,4030,スマイルハート,empty,0
UR,笑顔のステージ,判定,リズムアイコン,30,36,5,71,5.5,0,0,95,5220,4490,4080,スマイルプリンセス,μ'ｓ,0
SR,たべちゃうぞ？,スコア,スコア,12000,13,1,20,0,920,70,1470,4530,3790,3970,スマイルハート,empty,0
SR,海辺の太陽,判定,リズムアイコン,20,40,2,54,2.5,0,0,60,3960,3590,4680,クールハート,empty,0
SR,みんなと夏祭り,スコア,コンボ,26,36,2,50,0,455,40,765,3880,4650,3700,ピュアハート,empty,0
UR,あなたへのエール,回復,タイマー,14,34,6,76,0,4,0,8,4400,5210,4180,ピュアエンジェル,μ'ｓ,0
SR,至福のつまみ食い,判定,タイマー,18,40,2,54,4.5,0,0,115,3840,3640,4750,クールハート,empty,0
SR,穂むらの看板娘,判定,リズムアイコン,30,43,4,71,3.5,0,0,75,3630,4620,3880,ピュアハート,empty,0
SR,キャンドルナイト,スコア,パーフェクト,25,36,2,50,0,450,40,750,3950,4840,3440,ピュアハート,empty,0
UR,ハッピーニューイヤー,スコア,リズムアイコン,24,36,8,78,0,625,245,2340,4830,3780,5180,クールプリンセス,2年生,0
SR,動物がいっぱい,回復,リズムアイコン,19,36,2,50,0,2,0,4,4880,3840,3510,スマイルハート,empty,0
SR,おひさまパワー☆,スコア,コンボ,18,32,3,53,0,350,20,500,4010,3550,4770,クールハート,empty,0
SR,やっぱり幸せ！,判定,タイマー,12,34,3,55,3.5,0,0,75,3970,4820,3540,ピュアハート,empty,0
SR,とろーりチーズ♪,回復,タイマー,10,26,2,40,0,3,0,5,3980,3530,4820,クールハート,empty,0
SR,ゆっくり行こう！,スコア,リズムアイコン,28,38,2,52,0,375,35,640,4660,3840,3580,スマイルハート,empty,0
UR,その日が来るまで,回復,タイマー,12,38,5,73,0,3,0,7,5340,4090,4390,スマイルプリンセス,2年生,0
SR,ゆらゆらダンス,判定,リズムアイコン,25,38,3,59,3,0,0,65,3820,4850,3510,ピュアハート,empty,0
SR,世界のありがとう,回復,リズムアイコン,23,42,2,56,0,2,0,4,3880,3320,4830,クールハート,empty,0
SR,お祭りはっぴ,判定,リズムアイコン,25,42,2,56,3,0,0,65,4760,3980,3280,スマイルハート,empty,0
SR,メイド見習い,回復,タイマー,9,25,2,40,0,2,0,5,3950,4890,3260,ピュアハート,empty,0
SR,とことん遊ぼう！,スコア,タイマー,13,50,2,65,0,260,30,490,4910,3230,4000,スマイルハート,empty,0
SR,みんなで一緒に……♪,スコア,リズムアイコン,31,33,2,47,0,480,40,780,4050,4870,3270,ピュアハート,empty,0
UR,二人で抜け出そうっ！,判定,リズムアイコン,20,32,4,60,4,0,0,75,4520,5240,4100,ピュアプリンセス,2年生,0
SR,目指せ大漁♪,スコア,パーフェクト,18,38,2,54,0,300,30,510,4020,3190,4940,クールハート,empty,0
SR,二人で味見,判定,タイマー,20,43,3,65,3.5,0,0,105,4910,4160,3160,スマイルハート,empty,0
SR,豆を避ける！,判定,リズムアイコン,18,46,1,54,2,0,0,55,3440,3980,4680,クールハート,empty,0
SR,おひさま穂乃果,回復,リズムアイコン,33,46,2,61,0,3,0,5,4210,4920,3210,ピュアハート,empty,0
